"Waris Dirie","3831"
"Suzanne Somers","10630"
"Jean M. Fredette","6757"
"Rowena Morrill","10691"
"Paul Burrell","12649"
"Yvonne Lehman","11335"
"Hella S. Haasse HAASSE","7920"
"Martha Saxton","9873"
"Michael Michalko","1972"
"Jonathan Lethem","6767"
"Jessica Barksdale Inclan","12630"
"Sean Stewart","5851"
"William L. Deandrea","6226"
"Elaine S. Pelletier","14263"
"Andrew J. Robinson","7788"
"N.C. Wyeth","9702"
"Richard Kauffmann","5933"
"Ernie Colon","15237"
"Arthur Roth","13292"
"Renée Villoteau (traduit De L'anglai","13621"
"Lise Chapuis","2821"
"Dr. Miriam Stoppard","15172"
"Hal Lindsey","13944"
"Eileen Dreyer","5506"
"Daniella Gioseffi","10233"
"G. K. Chesterton","5015"
"Rick DeMarinis","13381"
"Don Wismer","3075"
"Neil D. Isaacs","1599"
"Ernest Shackleton","9450"
"Marc Gascoigne","430"
"Jean Amery","13708"
"ダン・デプロスペロ","10394"
"Marianne Larned","12113"
"Alexs Pate","15610"
"Nicole Luiken","4983"
"Nicholas Van Pelt","6117"
"Melissa Getzoff","10163"
"Michelle Berriedale-Johnson","13512"
"Jennifer Moses","13255"
"W.S. Merwin","4828"
"Robert T. Trotter II","2441"
"Charles Kingsley","6695"
"Greg Rucka","14209"
"Helga Heller-Neumann","15541"
"Jeanne Willis","10238"
"Dalai Lama","2706"
"Andy Mangels","3362"
"John Bolton","299"
"Alan Trustman","11297"
"Lewis & Clark","14040"
"Jennifer Donnelly","2407"
"Huston Curtiss","12271"
"Ken Smith","5943"
"Paul Joffe","8342"
"L. Lee Wilson","5940"
"Sirrus Poe","7489"
"Sylvie Matton","7160"
"Uta Hege","15519"
"Karen Hancock","7177"
"Darryl London","8361"
"Kay Hooper","160"
"Tor Seidler","3605"
"Dale Brown","2043"
"Jean-Claude Gotting","8186"
"Maeve Haran","7228"
"Linda Acredolo","9567"
"Hergé","7078"
"Stewart And Sally Walton","7956"
"David SHOBIN","10715"
